
-,-,-
1.95,0.00,-0.49
1.83,-0.24,0.06
2.01,-0.55,0.43
2.87,-1.04,0.37
4.82,-1.77,0.43
6.77,-2.38,0.31
7.26,-2.38,-0.31
6.90,-1.83,-1.34
6.23,-0.61,-2.38
4.70,0.06,-3.17
3.60,0.67,-3.30
2.38,0.79,-3.23
2.14,0.37,-2.44
2.01,0.24,-1.71
2.38,0.12,-0.92
1.89,-0.24,-0.06
2.20,-0.55,0.67
2.69,-0.79,0.92
2.62,-0.79,0.67
2.14,-0.61,0.24
2.01,-0.24,-0.43
1.40,0.61,-0.79
0.61,0.98,-1.16
0.67,1.04,-0.79
2.62,0.79,0.18
8.18,0.37,1.59
18.01,-0.73,2.56
28.44,-1.83,0.18
44.19,0.31,-10.93
66.10,2.62,-19.90
77.58,8.73,-30.15
92.53,18.37,-47.42
110.60,36.93,-68.24
131.04,58.78,-89.36
143.55,79.53,-103.70
152.34,103.94,-115.54
143.31,127.44,-117.07
142.82,138.43,-123.96
134.64,129.33,-113.65
113.34,123.78,-98.39
99.91,98.33,-71.35
94.85,57.19,-40.22
88.20,38.76,-23.32
86.67,30.64,-27.28
91.86,15.81,-34.24
77.33,19.10,-22.95
63.60,23.62,-22.46
51.57,21.61,-22.28
38.02,20.57,-22.83
23.86,8.00,-12.21
3.05,3.05,-1.83
-16.42,10.62,-6.41
-32.23,21.61,-15.08
-47.67,27.47,-20.87
-57.37,28.63,-23.19
-57.13,25.70,-21.06
-46.88,18.74,-14.53
-32.29,8.18,-3.97
-21.00,-3.66,8.48
-8.36,-15.38,19.90
2.81,-25.51,27.71
6.59,-31.80,33.51
6.77,-34.85,35.64
2.75,-35.52,35.34
-3.42,-34.30,34.42
-7.32,-31.92,32.10
-10.07,-28.63,29.97
-13.67,-24.41,28.44
-17.52,-20.32,25.82
-20.75,-16.54,22.34
-22.89,-12.39,18.68
-27.89,-9.22,16.24
-28.99,-8.42,15.08
-23.56,-8.30,14.89
-17.46,-7.45,14.47
-12.45,-7.20,13.24
-8.97,-3.30,10.44
-6.29,-0.12,7.75
-4.21,-0.55,4.70
-1.16,-12.15,-1.40
13.37,-46.20,-11.41
20.51,-59.27,-19.17
0.85,-17.03,-10.13
-6.90,-17.03,-5.62
9.22,-47.79,-17.40
2.20,-38.57,-10.01
4.03,-39.06,-4.94
5.19,-38.21,-4.52
9.34,-50.11,-8.54
3.36,-39.55,-2.14
-3.17,-25.63,8.73
-5.00,-45.59,1.40
9.40,-73.85,-15.50
-3.30,-54.14,-2.32
-13.12,-31.25,-1.59
-5.43,-51.45,-14.95
6.71,-61.16,-27.65
-4.76,-41.69,-12.63
-7.93,-34.18,-7.87
-7.69,-34.85,-11.35
-6.47,-35.22,-16.24
-10.62,-31.92,-9.70
-9.16,-46.33,-8.97
-6.71,-47.97,-8.42
-11.35,-29.24,3.05
-4.09,-41.50,-2.20
5.43,-52.31,-10.38
-3.66,-36.19,-0.49
-5.68,-31.25,-1.53
-11.78,-26.43,0.24
-15.69,-38.88,-10.19
-9.34,-61.46,-23.86
-22.89,-24.35,-3.30
-28.02,-19.59,-1.40
-10.01,-37.48,-14.34
-10.44,-27.83,-4.33
-12.94,-15.08,2.69
-6.65,-17.09,-1.83
-4.03,-30.09,-10.01
-9.77,-7.75,1.53
-16.30,-2.38,12.63
-11.54,-26.25,-3.23
-5.00,-36.87,-13.67
-10.74,-28.63,-5.13
0.49,-45.04,-13.73
-7.45,-13.24,-4.94
-13.37,-6.35,1.16
0.43,-41.32,-24.11
-0.98,-46.75,-26.49
-4.52,-25.51,-13.00
-8.30,-7.32,-2.56
-4.94,-17.82,-7.51
-3.11,-25.27,-10.01
-3.60,-12.94,-3.11
-0.61,-8.61,1.10
0.98,-8.67,1.71
2.14,-8.79,2.50
4.15,-8.30,3.11
4.70,-8.12,3.05
5.07,-8.00,2.81
5.74,-8.06,2.87
6.04,-8.06,3.11
6.04,-7.81,3.91
6.35,-7.45,5.07
7.14,-6.77,7.08
6.29,-5.00,10.50
3.23,-3.17,12.57
0.49,-1.53,13.85
-2.69,0.49,14.40
-4.03,1.04,13.61
-4.64,-0.31,12.88
-3.91,-2.26,12.39
-2.20,-4.21,12.27
0.18,-6.16,11.90
1.65,-7.39,12.27
1.77,-7.81,13.43
-0.49,-6.84,16.60
-2.87,-3.60,18.80
-4.58,-0.92,16.24
-3.05,0.31,10.93
-2.08,0.79,5.55
0.49,0.73,-0.61
2.32,1.95,-5.68
2.38,3.78,-9.95
0.06,5.92,-13.18
-1.71,6.90,-16.11
-4.76,-5.92,-26.79
-1.53,-41.14,-56.09
1.53,-68.54,-77.64
-7.81,-39.12,-63.60
-9.09,-13.55,-45.59
4.15,-19.23,-46.75
11.35,-28.14,-47.67
6.35,-16.42,-33.39
















-,-,-
-0.61,0.92,-5.19
-0.06,1.34,-4.76
0.06,1.40,-4.33
0.06,0.73,-3.66
0.31,0.55,-2.99
0.49,0.24,-2.08
0.79,-0.24,-1.04
1.53,-0.73,0.12
2.32,-1.22,1.04
2.75,-1.59,1.71
3.36,-1.65,1.71
3.72,-1.34,1.16
3.72,-1.46,0.43
3.05,-1.22,-0.18
2.81,-0.98,-0.79
2.14,-0.55,-1.22
1.28,-0.49,-1.10
1.40,-0.73,-0.31
1.95,-1.10,0.61
2.56,-1.22,1.59
3.78,-0.85,1.77
3.78,-0.79,1.28
3.66,-0.85,0.85
4.15,-1.16,0.31
6.16,-2.01,0.06
12.08,-3.30,0.61
19.53,-4.76,0.43
31.62,-6.29,-1.28
45.47,-8.12,-0.98
53.04,-10.56,-7.45
65.06,-9.58,-16.36
77.88,-4.64,-25.76
84.29,-3.66,-37.78
99.30,3.30,-56.15
106.99,11.66,-57.98
101.75,21.97,-73.43
101.68,26.86,-81.73
112.61,27.40,-82.34
114.99,34.18,-85.08
122.74,31.80,-74.28
114.38,33.87,-59.45
108.40,29.97,-45.23
107.30,17.88,-24.66
102.84,12.08,-14.53
97.47,14.59,-9.77
98.69,11.78,-8.36
97.41,6.77,-13.61
87.77,16.91,-25.27
78.67,23.44,-36.32
70.50,21.73,-36.01
59.57,18.19,-33.94
52.31,13.18,-26.43
51.88,0.18,-7.57
45.78,-6.96,14.77
36.01,-10.99,23.07
22.89,-10.31,20.26
15.87,-8.12,16.85
6.23,-6.53,12.51
-3.72,-4.46,8.24
-11.90,-2.38,5.80
-14.40,-1.71,5.31
-16.11,-2.26,6.53
-16.48,-2.62,9.83
-10.74,-2.50,14.71
0.06,-3.36,21.24
9.52,-4.58,27.53
13.98,-5.92,31.98
15.44,-7.63,33.87
16.72,-8.54,33.45
16.97,-8.61,31.43
11.72,-7.87,27.53
6.16,-7.75,22.34
0.79,-7.81,16.78
-5.43,-5.80,11.11
-12.27,-2.08,5.19
-16.48,-1.22,0.24
-19.35,-8.30,-3.72
-15.50,-14.16,-5.31
-24.66,-3.48,-5.80
-20.51,-13.18,-5.00
-10.56,-21.30,-1.46
-4.88,-19.29,3.66
5.92,-34.42,9.34
-5.31,-17.58,9.46
5.19,-40.59,8.06
15.99,-66.16,11.84
24.54,-71.66,14.95
10.01,-42.91,19.47
9.58,-49.26,20.39
25.15,-65.92,20.81
13.67,-44.31,25.70
13.12,-55.18,22.03
17.33,-52.73,21.42
4.64,-37.35,19.96
7.93,-49.56,14.04
21.06,-64.39,11.84
6.96,-28.63,14.22
-4.70,-13.61,14.95
1.71,-29.42,10.62
8.36,-34.61,4.94
4.46,-24.90,8.54
-0.73,-12.21,6.84
-2.99,-4.39,4.76
3.97,-18.37,2.93
9.89,-29.36,1.65
7.57,-19.47,2.26
1.34,-11.54,2.01
2.81,-4.64,-4.09
-2.87,-4.88,-4.70
9.58,-22.40,-10.74
7.75,-16.24,-6.35
0.73,-3.05,-1.65
4.21,-7.81,-1.28
3.30,-9.22,-4.21
8.18,-18.80,-3.60
6.90,-14.34,-4.58
4.64,-7.32,-3.66
9.83,-21.85,-6.16
18.07,-34.85,-5.19
1.40,-4.88,-2.69
-2.62,-2.44,-5.25
20.69,-38.88,-9.40
6.41,-9.58,-1.83
-0.73,-12.33,-1.65
20.20,-38.64,-11.11
10.13,-12.70,-6.59
2.93,0.92,-6.04
22.89,-33.14,-11.90
16.11,-17.46,-10.74
10.19,0.49,-4.58
7.75,15.63,-3.11
12.63,2.14,-3.78
16.91,-16.48,-6.35
8.36,-0.18,-4.03
6.23,-3.36,0.18
12.21,-18.92,-4.88
7.63,-10.13,-2.93
1.16,8.42,-2.44
11.11,-10.07,-4.94
8.54,-8.06,-6.96
3.85,-0.55,-4.39
7.32,-8.97,-3.42
5.68,-13.24,-2.32
-2.62,1.77,0.61
1.89,-5.31,-0.12
9.58,-15.50,-0.37
3.11,-3.17,4.76
10.13,-12.82,4.33
13.61,-9.89,3.54
8.61,-1.22,4.88
13.98,-11.54,0.73
14.40,-6.10,-0.18
11.11,5.49,3.54
13.37,5.98,4.15
10.50,5.49,3.78
9.22,3.91,2.56
8.85,3.11,1.71
7.45,3.54,1.28
5.19,3.23,0.98
4.27,2.08,0.73
3.78,0.18,0.98
3.72,-2.01,1.53
4.21,-3.91,2.56
4.39,-4.76,3.66
3.54,-5.37,4.33
